text,label,prediction,prediction_text,correctness
Dan cara itu? Sudah ada di genggamanmu 𝗛𝗼𝗹𝘆𝘄𝗶𝗻𝟵𝟵 𝗕𝗼𝗻𝘂𝘀patocase,0,1,judi,Salah prediksi
isinya daging mulu woy ─═ 𝗕 𝗘 𝗥 𝗞 𝗔 𝗛 𝟵 𝟵 ═─,0,1,judi,Salah prediksi
kalo dari awal gue tau udah setiap hari gua maininin nih ─═ 𝗕 𝗘 𝗥 𝗞 𝗔 𝗛 𝟵 𝟵 ═─,0,1,judi,Salah prediksi
"Spin dikit, dapet banyak! Kayak gini nih enaknya main di 𝐏𝐋𝐔𝐓𝐎𝟖𝟖",0,1,judi,Salah prediksi
Akhirnya menang besar di 𝐏𝐋𝐔𝐓𝐎𝟖𝟖! Semoga keberuntungan terus datang!,0,1,judi,Salah prediksi
"Mainnya santai, cuannya nyata. 𝐏𝐋𝐔𝐓𝐎𝟖𝟖 emang gak pernah zonk",0,1,judi,Salah prediksi
"Mainnya santai, cuannya nyata. 𝐏𝐋𝐔𝐓𝐎𝟖𝟖 emang gak pernah zonk",0,1,judi,Salah prediksi
Gimana kalau coba peruntunganmu di 𝐏𝐋𝐔𝐓𝐎𝟖𝟖? Siapa tahu jadi jutawan malam ini!,0,1,judi,Salah prediksi
"Spin dikit, dapet banyak! Kayak gini nih enaknya main di 𝐏𝐋𝐔𝐓𝐎𝟖𝟖",0,1,judi,Salah prediksi
"Woooow, kemenangan besar di 𝐏𝐋𝐔𝐓𝐎𝟖𝟖! Senangnya!",0,1,judi,Salah prediksi
"Spin dikit, dapet banyak! Kayak gini nih enaknya main di 𝐏𝐋𝐔𝐓𝐎𝟖𝟖",0,1,judi,Salah prediksi
"Spin dikit, dapet banyak! Kayak gini nih enaknya main di 𝐏𝐋𝐔𝐓𝐎𝟖𝟖",0,1,judi,Salah prediksi
"Spin dikit, dapet banyak! Kayak gini nih enaknya main di 𝐏𝐋𝐔𝐓𝐎𝟖𝟖",0,1,judi,Salah prediksi
"Mainnya santai, tapi hasilnya luar biasa. Wajib coba 𝐏𝐋𝐔𝐓𝐎𝟖𝟖",0,1,judi,Salah prediksi
"Mainnya santai, cuannya nyata. 𝐏𝐋𝐔𝐓𝐎𝟖𝟖 emang gak pernah zonk",0,1,judi,Salah prediksi
"Main di 𝐏𝐋𝐔𝐓𝐎𝟖𝟖 bukan cari hiburan doang, tapi cari cuan juga",0,1,judi,Salah prediksi
"Modal pas-pasan, hasil memuaskan. Emang 𝐏𝐋𝐔𝐓𝐎𝟖𝟖 paling ngerti kita!",0,1,judi,Salah prediksi
"Mainnya santai, tapi hasilnya luar biasa. Wajib coba 𝐏𝐋𝐔𝐓𝐎𝟖𝟖",0,1,judi,Salah prediksi
"Spin dikit, dapet banyak! Kayak gini nih enaknya main di 𝐏𝐋𝐔𝐓𝐎𝟖𝟖",0,1,judi,Salah prediksi
"Woooow, kemenangan besar di 𝐏𝐋𝐔𝐓𝐎𝟖𝟖! Senangnya!",0,1,judi,Salah prediksi
"baru aja gw coba ΛLEXIS17, semalam , lumayan lah dpt 2jt",0,1,judi,Salah prediksi
"wkwkwkwkwk viral ni situs ΛLEXIS17,",0,1,judi,Salah prediksi
"Muadah mudahan bermanfaat ,,aku kan coba di ΛLEXIS17, ,, real asik mainnya",0,1,judi,Salah prediksi
"Gak pernah kecewa main di ΛLEXIS17,, slt mereka selalu on fire!",0,1,judi,Salah prediksi
"duduk dudukk ngopii enak nya itu sambil mainn slt di ΛLEXIS17,",0,1,judi,Salah prediksi
"Saya selalu merasakan keberuntungan di ΛLEXIS17, , boleh gabung bro",0,1,judi,Salah prediksi
"Ganas semua slt di ΛLEXIS17, modal kecil bisa narik sejuta om",0,1,judi,Salah prediksi
"setelah sedemikian itu lama nyari2 link mantul kali ni gw setuju ΛLEXIS17, gac0r",0,1,judi,Salah prediksi
"THR dari ΛLEXIS17, udah di depan mata, tinggal gas!",0,1,judi,Salah prediksi
"Semangat Bosqu , Terbaik ΛLEXIS17,",0,1,judi,Salah prediksi
"coba di ΛLEXIS17, gak ribet ! salam petir x 500",0,1,judi,Salah prediksi
"Keren sih ΛLEXIS17, , main bentar auto jepe.",0,1,judi,Salah prediksi
"Berkah rezeki hari ini berkat ΛLEXIS17,,puji syukur!",0,1,judi,Salah prediksi
"Sehat selalu semuanya salam dari ΛLEXIS17, gampang jepe",0,1,judi,Salah prediksi
"ΛLEXIS17, saya maen santai aja, tetep bisa WEDEY jutaan",0,1,judi,Salah prediksi
"bang tadi jam segitu menang besar w di ΛLEXIS17,",0,1,judi,Salah prediksi
"Yang di tunggu tunggu salam Jepe ΛLEXIS17,",0,1,judi,Salah prediksi
"cik rada mikir atuh sateh spam di yt batur euweuh kaera ΛLEXIS17,",0,1,judi,Salah prediksi
"wkwkwkwkwk viral ni situs Λ L E X I S 1 7,",0,1,judi,Salah prediksi
"Main di 𝐷 𝙀 𝘞 𝐀 𝘋 𝑂 𝘙 Аseru banget, langsung dapat rezeki nggak terduga!",0,1,judi,Salah prediksi
"Jakpot besar tiap main di 𝐃 𝘖 𝐑 𝘈 𝟩 𝟽, bener-bener puas banget!",0,1,judi,Salah prediksi
"Pecah banget di 𝘼 E 𝘙 О 𝟴 𝟾, jepe",0,1,judi,Salah prediksi
"Rame banget di explore gara-gara 𝐌𝐈𝐘𝐀𝟖𝟖 , temanya selalu fresh!",0,1,judi,Salah prediksi
"Pengalaman tak terlupakan di 𝑲𝑶𝑰𝑺𝑳𝑶𝑻 , jadi sumber semangat tiap hari!",0,1,judi,Salah prediksi
Wajib banget login ke 𝐌𝐈𝐘𝐀𝟖𝟖 selalu jadi prioritas gua!,0,1,judi,Salah prediksi
"Dari pada zonk mulu, mending pindah ke 𝑲𝑶𝑰𝑺𝑳𝑶𝑻 sekarang juga!",0,1,judi,Salah prediksi
"Gua kira biasa aja, ternyata rame parah di 𝑲𝑶𝑰𝑺𝑳𝑶𝑻 , langsung masuk hot search!",0,1,judi,Salah prediksi
"Nikmatin hari lebih enjoy dengan 𝐌𝐈𝐘𝐀𝟖𝟖 , bikin hidup gua lebih ceria!",0,1,judi,Salah prediksi
"Tempat favorit buat tenang itu 𝑲𝑶𝑰𝑺𝑳𝑶𝑻 , tempat nyaman tanpa ribet!",0,1,judi,Salah prediksi
"Lu pasti nyesel telat kenal 𝑲𝑶𝑰𝑺𝑳𝑶𝑻 , asli dah!",0,1,judi,Salah prediksi
"Penasaran banget! Coba deh, siapa tau kamu dapet menang seperti aku di 𝘈 𝘟 𝐿 𝟽 𝟽 𝟩!",0,1,judi,Salah prediksi
Hasil di 𝘈 𝘟 𝐿 𝟽 𝟽 𝟩 membantu saya menyelesaikan kewajiban keuangan dengan mudah.,0,1,judi,Salah prediksi
"Hasil gacir terus di 𝘈 𝘟 𝐿 𝟽 𝟽 𝟩, nggak pernah kecewa!",0,1,judi,Salah prediksi
"Seru banget main di 𝘈 𝘟 𝐿 𝟽 𝟽 𝟩,hasilnya bikin hati senang terus!",0,1,judi,Salah prediksi
"Keberuntungan besar datang dari 𝘈 𝘟 𝐿 𝟽 𝟽 𝟩, nggak nyesel coba main!",0,1,judi,Salah prediksi
"Keberuntungan besar bikin aku makin cinta sama 𝘈 𝘟 𝐿 𝟽 𝟽 𝟩, thank you!",0,1,judi,Salah prediksi
"Keberuntungan nggak mengenal waktu, buktinya dapet menang besar di 𝘈 𝘟 𝐿 𝟽 𝟽 𝟩!",0,1,judi,Salah prediksi
Semuanya gacir di 𝘈 𝘟 𝐿 𝟽 𝟽 𝟩! Main sekarang juga dan buktikan sendiri!,0,1,judi,Salah prediksi
Gamenya seru di 🅟 🅤 🅛 🅐 🅤 🅦 🅘 🅝,0,1,judi,Salah prediksi
hapuslah itu komen ᑭ ᑌ ᒪ ᗩ ᑌ ᗯ I ᑎ,0,1,judi,Salah prediksi
ငါ့ကိုလဲပေး,0,1,judi,Salah prediksi
Pelan² bang jes,0,1,judi,Salah prediksi
bang bikin yg 5 hero support apakah bisa menang di tangan orng² jago?,0,1,judi,Salah prediksi
Ini khusus org² ini yaa... Kalian jangan coba²,0,1,judi,Salah prediksi
𝙋𝙚𝙧𝙩𝙖𝙢𝙖,0,1,judi,Salah prediksi
wahh ada bahan meme baru guyss…,0,1,judi,Salah prediksi
Kamu dengerrrrriiiinnn gaaaakkkkk!!!!!!!! Dengerin doookk..,0,1,judi,Salah prediksi
Tiba² aja dapet ide bisnis,0,1,judi,Salah prediksi
buat yang mager² aja,0,1,judi,Salah prediksi
"Pas liat thumbnailnya langsung inget Andhika Pratama, dia makan tempe tiap hari tapi anaknya banyak, berarti MITOS",0,1,judi,Salah prediksi
cek google 𝗡𝗢𝗧𝗜𝗙𝟰𝗗 Mahjong mudah pecah selayar hanya di 𝗡𝗢𝗧𝗜𝗙𝟰𝗗,0,1,judi,Salah prediksi
"█BER KAH 99█ bikin setiap detik berharga, rezeki datang tanpa diduga!",0,1,judi,Salah prediksi
𝙎𝙖𝙢𝙖,0,1,judi,Salah prediksi
Situs rekomendasi terbaik𝗚𝗨𝗡𝗨𝗡𝗚𝑾𝗜𝗡,0,1,judi,Salah prediksi
Modal usaha saya bertambah signifikan berkat hasil dari 𝐃ОЯA𝟩𝟩.,0,1,judi,Salah prediksi
